Respondent ID,Employee ID,Department,Age,Tenure,Gender,Location,Manager,Leadership Level,Why_Pride_1,Why_Pride_2,Why_Sense_1,Why_Sense_2,Why_Sense_3,Why_Meaningfulness_1,Why_Meaningfulness_2,Who_FaithLeadership_1,Who_FaithLeadership_2,Who_FaithLeadership_3,Who_trust_1,Who_trust_2,Who_trust_3,Who_Relationship_1,Who_Relationship_2,Who_Relationship_3,Who_Relationship_4,Who_Relationship_5,Who_Relationship_6,Who_Relationship_7,Who_SenseBelonging_1,How_SenseDirection_1,How_RoleClarity_1,How_LineSight_1,How_SystemTools_1,How_SystemTools_2,How_SystemTools_3,How_SystemTools_4,How_SenseProgress_1,What_WorkCulture_1,What_WorkCulture_2,What_WorkCulture_3,What_WorkCulture_4,What_WorkCulture_5,What_TalentDevelopment_1,What_TalentDevelopment_2,What_Recognition_1,What_CompensationBenefits_1,What_WorkLifeBalance_1,What_WorkLifeBalance_2,What_WorkLifeBalance_3,What_PsychologicalSafety_1,What_PsychologicalSafety_2,What_PsychologicalSafety_3,What_PsychologicalSafety_4,What_PsychologicalSafety_5,What_PsychologicalSafety_6,What_PsychologicalSafety_7,Outcome_Advocay_1,Outcome_DiscretionaryEffort_1,Outcome_IntentToStay_1
1,EMP1001,Finance,23,3.7,Female,Karachi,Ali Raza,Manager,1,4,3,5,5,2,4,1,4,5,1,3,5,4,2,5,5,5,2,4,2,5,4,3,3,4,4,3,4,3,5,5,3,3,1,1,3,5,1,4,2,4,1,3,4,5,5,4,3,3,2
2,EMP1002,Supply Chain,27,5.3,Female,Karachi,Usman Tariq,Manager,5,4,4,5,5,5,5,2,3,4,4,4,3,4,3,3,5,1,1,3,4,3,5,4,2,1,5,4,1,1,3,1,1,5,1,3,1,3,3,5,2,5,3,2,5,2,1,1,4,2,1
3,EMP1003,Legal,23,2.8,Male,Multan,Hira Shah,Individual Contributor,1,4,2,2,1,5,4,1,5,5,5,4,4,5,4,4,3,1,2,4,5,4,5,4,5,4,2,5,3,4,4,1,4,1,4,5,2,4,1,5,1,1,3,5,3,2,5,3,5,5,1
4,EMP1004,R&D,59,7.0,Male,Faisalabad,Sara Ahmed,Senior Manager,3,3,3,3,3,1,2,2,2,5,1,5,2,2,2,2,1,1,3,2,2,2,2,5,5,3,4,2,1,4,3,1,3,5,1,2,4,3,5,5,1,2,1,2,4,2,2,3,2,2,4
5,EMP1005,Customer Support,43,6.9,Female,Faisalabad,Zainab Ali,Team Lead,5,2,5,4,4,3,2,3,4,4,2,1,2,4,2,2,1,2,2,2,2,3,5,2,3,5,5,3,3,2,5,2,3,1,2,5,5,5,3,5,4,5,4,1,4,3,4,5,1,5,1
6,EMP1006,Customer Support,28,3.6,Female,Lahore,Zainab Ali,Manager,3,1,1,3,4,5,1,2,3,4,4,1,4,1,2,1,3,4,5,1,2,3,4,1,2,2,4,2,4,5,1,4,1,3,4,1,4,3,3,5,5,2,5,5,5,5,2,3,2,4,1
7,EMP1007,R&D,56,3.1,Prefer not to say,Karachi,Omar Farooq,Senior Individual Contributor,3,5,2,2,4,4,5,4,5,2,4,5,5,3,4,4,2,1,3,4,4,3,1,5,3,3,4,5,4,5,3,2,1,4,5,1,2,5,5,4,1,5,1,3,2,1,2,1,5,4,3
8,EMP1008,Legal,34,11.3,Female,Karachi,Hira Shah,Manager,2,2,3,5,3,1,3,2,5,4,4,2,3,1,4,2,2,3,2,1,5,5,4,4,1,1,4,5,5,4,5,1,5,3,2,4,5,2,2,1,2,1,2,5,5,3,2,2,5,1,4
9,EMP1009,Operations,28,3.8,Male,Rawalpindi,Hassan Malik,Team Lead,2,1,1,2,5,4,5,2,2,5,3,5,5,1,3,4,4,1,3,4,4,2,5,3,5,4,1,3,2,1,4,4,5,4,5,2,5,2,4,1,5,4,4,1,1,2,4,2,3,1,1
10,EMP1010,Marketing,35,11.4,Male,Multan,Fatima Noor,Director,4,3,4,2,4,5,3,5,4,4,3,2,5,1,1,4,4,4,4,3,1,4,1,5,4,4,2,4,5,2,4,1,5,4,2,1,3,5,3,4,5,3,2,3,2,1,5,2,5,1,4
